Keyword,Name,Layers,UValue (W/m2K),Trans Light (VT),Trans Total (SHGC),Trans Direct Solar,Cost per surface area (EGP/m2),,,,,,,,,,,
GLAZING ,Project internal glazing,3,2.178,0.738,0.682,0.595,1609.85,,,,,,,,,,,
GLAZING ,SageGlass Climatop Blue No Tint,3,0.687,0.357,0.248,0.192,946.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Building Data,,,,,,,,,,,,,,,,,,
Building number of zones:,312,,,,,,,,,,,,,,,,,
Building heated/cooled floor area (m2),17948.18,,,,,,,,,,,,,,,,,
Building volume (m3),97074.29,,,,,,,,,,,,,,,,,
Building external area (m2),30155.8,,,,,,,,,,,,,,,,,
Building area-weighted average U-value (W/m2K),1.137,,,,,,,,,,,,,,,,,
Building external surface area/Volume (m-1),0.311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity Area Summary,,,,,,,,,,,,,,,,,,
Activity,Area (m2),,,,,,,,,,,,,,,,,
Generic Office Area,17948.18,,,,,,,,,,,,,,,,,
Total,17948.18,,,,,,,,,,,,,,,,,
,Glazing,Outside,22.245,SageGlass Climatop Blue No Tint,0.687,15.2823,0,0,0.061,0.293,90,90,FALSE,1131.381,**,1131.381,**,0
,Glazing,Outside,6.018,SageGlass Climatop Blue No Tint,0.687,4.1344,0,0,0.061,0.293,180,90,FALSE,306.076,**,306.076,**,0
,,,,,,,,,,,,,,20392.7,,20779.4,,12859.4
Zone,Activity,Floor area (m2),Volume (m3),Heated?,Heating SetPoint Temperature (C),Cooled?,Cooling SetPoint Temperature (C),,,,,,,,,,,
Ground Floor - Zone 7,Generic Office Area,7.048,41.585,TRUE,22,TRUE,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
,Infiltration,Outside,N/A,N/A,N/A,10.493,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,0,,,,
,Ceiling,First floor - Zone 92,7.866,Project internal floor_Reversed,2.929,23.0385,88.2,693.7813,0.17,0.1,180,0,TRUE,66.074,,66.074,,"3,352"
,Partition,Ground Floor - Zone 5,15.93,Project partition,1.639,26.1148,22.5,358.425,0.13,0.13,180,90,TRUE,0,,0,,"6,034"
,Partition,Ground Floor - Zone 6,17.125,Project partition,1.639,28.0738,22.5,385.3125,0.13,0.13,90.42,90,TRUE,46.238,,50.091,,"6,487"
,Partition,Ground Floor - Zone 91,17.125,Project partition,1.639,28.0738,22.5,385.3125,0.13,0.13,270,90,TRUE,46.238,,50.091,,"6,487"
,Partition,Ground Floor - Zone 4,16.056,Project partition,1.639,26.3213,22.5,361.26,0.13,0.13,0,90,TRUE,0,,0,,"6,082"
,Ground floor,Ground,7.868,Project ground floor,0.25,1.9665,93.96,739.2773,0.01,0.17,0,180,TRUE,320.795,,323.791,,"3,353"
,,,,,,,,,,,,,,479.3,,490,,3357.5
Zone,Activity,Floor area (m2),Volume (m3),Heated?,Heating SetPoint Temperature (C),Cooled?,Cooling SetPoint Temperature (C),,,,,,,,,,,
Ground Floor - Zone 6,Generic Office Area,11.244,56.594,TRUE,22,TRUE,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
,Infiltration,Outside,N/A,N/A,N/A,14.281,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,0,,,,
,Ceiling,First floor - Zone 92,2.291,Project internal floor_Reversed,2.929,6.71,88.2,202.0662,0.17,0.1,180,0,TRUE,19.244,,19.244,,976
,Ceiling,First floor - Zone 10,8.09,Project internal floor_Reversed,2.929,23.6946,88.2,713.538,0.17,0.1,180,0,TRUE,67.956,,67.956,,"3,447"
,Ceiling,First floor - Zone 9,0.863,Project internal floor_Reversed,2.929,2.5276,88.2,76.1166,0.17,0.1,180,0,TRUE,7.249,,7.249,,368
,Partition,Ground Floor - Zone 5,22.715,Project partition,1.639,37.2377,22.5,511.0876,0.13,0.13,180,90,TRUE,0,,0,,"8,604"
,Wall,Outside,11.088,Best wall,1.774,19.6711,143.164,1587.402,0.04,0.13,90,90,TRUE,1472.265,,1504.863,,"4,200"
,Partition,Ground Floor - Zone 7,17.125,Project partition,1.639,28.0738,22.5,385.3125,0.13,0.13,270.42,90,TRUE,0,,0,,"6,487"
,Partition,Ground Floor - Zone 4,24.949,Project partition,1.639,40.9,22.5,561.3525,0.13,0.13,0,90,TRUE,0,,0,,"9,450"
,Partition,Ground Floor - Zone 5,1.475,Project partition,1.639,2.418,22.5,33.1875,0.13,0.13,90,90,TRUE,0,,0,,559
,Wall,Outside,1.785,Best wall,1.774,3.1667,143.164,255.5477,0.04,0.13,180,90,TRUE,237.012,,242.26,,676
,Ground floor,Ground,11.244,Project ground floor,0.25,2.8103,93.96,1056.486,0.01,0.17,0,180,TRUE,458.441,,462.723,,"4,791"
,Glazing,Outside,4.562,SageGlass Climatop Blue No Tint,0.687,3.1341,0,0,0.061,0.293,90,90,FALSE,232.023,**,232.023,**,0
,Glazing,Outside,0.575,SageGlass Climatop Blue No Tint,0.687,0.395,0,0,0.061,0.293,180,90,FALSE,29.245,**,29.245,**,0
,,,,,,,,,,,,,,2523.4,,2565.6,,4177.4
Zone,Activity,Floor area (m2),Volume (m3),Heated?,Heating SetPoint Temperature (C),Cooled?,Cooling SetPoint Temperature (C),,,,,,,,,,,
Ground Floor - Zone 2,Generic Office Area,122.974,725.549,TRUE,22,TRUE,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
,Infiltration,Outside,N/A,N/A,N/A,183.084,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,0,,,,
,Ceiling,First floor - Zone 5,8.091,Project internal floor_Reversed,2.929,23.6975,88.2,713.6262,0.17,0.1,180,0,TRUE,67.964,,67.964,,"3,448"
,Ceiling,First floor - Zone 4,30.14,Project internal floor_Reversed,2.929,88.2761,88.2,2658.348,0.17,0.1,180,0,TRUE,253.176,,253.176,,"12,844"
,Ceiling,First floor - Zone 3,50.016,Project internal floor_Reversed,2.929,146.4904,88.2,4411.411,0.17,0.1,180,0,TRUE,420.134,,420.134,,"21,314"
,Ceiling,First floor - Zone 15,0.925,Project internal floor_Reversed,2.929,2.7092,88.2,81.585,0.17,0.1,180,0,TRUE,7.77,,7.77,,394
,Ceiling,First floor - Zone 92,41.08,Project internal floor_Reversed,2.929,120.318,88.2,3623.256,0.17,0.1,180,0,TRUE,345.072,,345.072,,"17,506"
,Wall,Outside,57.637,Best wall,1.774,102.2532,143.164,8251.544,0.04,0.13,180,90,TRUE,7653.041,,7822.494,,"21,832"
